storyId,a,b,block-i,block-d
1,direct,indirect,indirect,direct
2,indirect,direct,indirect,direct
3,indirect,direct,indirect,direct
4,direct,indirect,indirect,direct
5,indirect,direct,direct,indirect
6,direct,indirect,direct,indirect
7,indirect,direct,direct,indirect
8,direct,indirect,direct,indirect
