storyId,title,narrator,c1,c2,bg1,bg2,giveObj1,giveObj2,takeObj,takeTarget,takeTargetBottom,takeTargetLeft,narrBottom,narrLeft,c1Bottom,c1Left,c2Bottom,c2Left
0,Playing with Toys,Elmo,BigBird,CookieMonster,playroom,playroom,ball,bear,truck,chest,2%,42%,10%,10%,20%,40%,10%,70%
1,Picnic in the Park,Minnie,Donald,Mickey,plain_hill,picnic,blanket,basket,sandwich,dog,5%,42%,15%,5%,30%,35%,15%,65%
2,Finding Flowers,Anna,Kristoff,Elsa,plain_hill,meadow,scissors,vase1,flowers,vase2,2%,45%,15%,5%,30%,40%,15%,75%
3,Baking Cookies,Jake,Izzy,Cubby,kitchen,kitchen,sprinkles,icing,cookie,jar,38%,80%,10%,5%,20%,30%,10%,55%
4,Playing in the Park,Dora,Boots,Swiper,plain_hill,path,bike,scooter,trash,trashcan,2%,40%,20%,5%,35%,32%,20%,60%
5,Art Projects,Mickey,Minnie,Donald,classroom,classroom,paper,crayons,picture,empty,47%,68%,5%,5%,20%,32%,5%,55%
6,Saving the Tiger,Kristoff,Elsa,Anna,plain_hill,lake,boat,camera,float,tiger,45%,75%,10%,5%,25%,37%,10%,70%
7,Visiting the Farm,Izzy,Cubby,Jake,plain_hill,farm,corn,wheat,corn,sheep,2%,42%,15%,5%,30%,35%,15%,75%
8,Fun with Legos,Swiper,Dora,Boots,playroom,playroom,chest,bucket,legos,legoHouse,2%,42%,7%,0%,22%,42%,7%,70%
